Ubicacion tecnica;Denominacion de la ubicacion tecnica;Level;Parent_UT_ID;N0;N0_nombre;N1;N1_nombre;N2;N2_nombre;N3;N3_nombre;N4;N4_nombre;N5;N5_nombre;N6;N6_nombre
E-BB-B0COK-0COK-CACO-0BH1401-1;VENTILADOR TIRO FORZADO BH-1401-1;6;E-BB-B0COK-0COK-CACO-0BH1401;E;ENAP;E-BB;REFINERIA BIO BIO;E-BB-B0COK;PLANTA COKER;E-BB-B0COK-0COK;PTA. COKER;E-BB-B0COK-0COK-CACO;AREA CAMARAS DE COKE;E-BB-B0COK-0COK-CACO-0BH1401;;E-BB-B0COK-0COK-CACO-0BH1401-1;VENTILADOR TIRO FORZADO BH-1401-1
E-BB-B0CCR-0CCR-0NHT-0006FI017;06FI017 FLUJO GAS F604 A F156B;5;E-BB-B0CCR-0CCR-0NHT;E;ENAP;E-BB;REFINERIA BIO BIO;E-BB-B0CCR;PLANTA REFORMACION CATALITICA CONTINUA;E-BB-B0CCR-0CCR;PTA. REFORMACION CATALITICA CONTINUA;E-BB-B0CCR-0CCR-0NHT;AREA DE HIDROTRATAMIENTO DE CCR;E-BB-B0CCR-0CCR-0NHT-0006FI017;06FI017 FLUJO GAS F604 A F156B;;
